Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/12/2023 02:29"
"Last updated:","03/12/2023 02:29"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=56trCL
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees","Returned IDPss","Resettlement arrivals",Naturalisation
2018,Morocco,MAR,Canada,CAN,-,-,5,15
2018,Myanmar,MMR,Australia,AUS,-,-,1545,-
2018,Myanmar,MMR,Canada,CAN,-,-,121,157
2018,Myanmar,MMR,Japan,JPN,-,-,22,-
2018,Myanmar,MMR,"Rep. of Korea",KOR,-,-,26,-
2018,Myanmar,MMR,"New Zealand",NZL,-,-,238,-
2018,Myanmar,MMR,"United States of America",USA,-,-,3771,-
2018,Namibia,NAM,"United States of America",USA,-,-,6,-
2018,Nepal,NPL,Australia,AUS,-,-,134,-
2018,Nepal,NPL,"United States of America",USA,-,-,7,-
2018,Nigeria,NGA,Canada,CAN,-,-,37,552
2018,Nigeria,NGA,France,FRA,-,-,65,12
2018,Nigeria,NGA,Sweden,SWE,-,-,6,-
2018,Pakistan,PAK,Australia,AUS,-,-,165,-
2018,Pakistan,PAK,Canada,CAN,-,-,556,835
2018,Pakistan,PAK,Finland,FIN,-,-,5,-
2018,Pakistan,PAK,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,6,-
2018,Pakistan,PAK,"New Zealand",NZL,-,-,46,-
2018,Pakistan,PAK,Sweden,SWE,-,-,10,-
2018,Pakistan,PAK,"United States of America",USA,-,-,493,-
2018,Philippines,PHL,Canada,CAN,-,-,5,20
2018,"South Africa",ZAF,Canada,CAN,-,-,5,66
2018,"Russian Federation",RUS,Norway,NOR,-,-,12,-
2018,"Russian Federation",RUS,"United States of America",USA,-,-,328,-
2018,Rwanda,RWA,Australia,AUS,-,-,44,-
2018,Rwanda,RWA,Canada,CAN,-,-,93,184
2018,Rwanda,RWA,Finland,FIN,-,-,5,-
2018,Rwanda,RWA,France,FRA,-,-,5,84
2018,Rwanda,RWA,Norway,NOR,-,-,5,-
2018,Rwanda,RWA,"United States of America",USA,-,-,157,-
2018,"El Salvador",SLV,Canada,CAN,-,-,26,157
2018,"El Salvador",SLV,"United States of America",USA,-,-,683,-
2018,"Saudi Arabia",SAU,Australia,AUS,-,-,16,-
2018,Senegal,SEN,Canada,CAN,-,-,6,38
2018,Senegal,SEN,Sweden,SWE,-,-,7,-
2018,Senegal,SEN,"United States of America",USA,-,-,14,-
2018,Somalia,SOM,Australia,AUS,-,-,30,-
2018,Somalia,SOM,Belgium,BEL,-,-,10,-
2018,Somalia,SOM,Canada,CAN,-,-,1292,828
2018,Somalia,SOM,Finland,FIN,-,-,6,-
2018,Somalia,SOM,France,FRA,-,-,45,31
2018,Somalia,SOM,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,134,-
2018,Somalia,SOM,Germany,DEU,-,-,37,-
2018,Somalia,SOM,"Netherlands (Kingdom of the)",NLD,-,-,20,1494
2018,Somalia,SOM,"New Zealand",NZL,-,-,24,-
2018,Somalia,SOM,Sweden,SWE,-,-,61,-
2018,Somalia,SOM,Switzerland,CHE,-,-,10,-
2018,Somalia,SOM,"United States of America",USA,-,-,139,-
2018,"Viet Nam",VNM,Canada,CAN,-,-,18,34
2018,"Viet Nam",VNM,France,FRA,-,-,5,52
2018,"Viet Nam",VNM,"United States of America",USA,-,-,94,-
2018,"South Sudan",SSD,Australia,AUS,-,-,54,-
2018,"South Sudan",SSD,Canada,CAN,-,-,139,11
2018,"South Sudan",SSD,Finland,FIN,-,-,5,-
2018,"South Sudan",SSD,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,25,-
2018,"South Sudan",SSD,"Netherlands (Kingdom of the)",NLD,-,-,22,-
2018,"South Sudan",SSD,Portugal,PRT,-,-,15,-
2018,"South Sudan",SSD,Sweden,SWE,-,-,55,-
2018,Stateless,XXA,Canada,CAN,-,-,252,-
2018,Stateless,XXA,Norway,NOR,-,-,5,-
2018,Stateless,XXA,Sweden,SWE,-,-,31,-
2018,Sudan,SDN,Australia,AUS,-,-,112,-
2018,Sudan,SDN,Canada,CAN,-,-,313,259
2018,Sudan,SDN,Finland,FIN,-,-,18,-
2018,Sudan,SDN,France,FRA,-,-,330,68
2018,Sudan,SDN,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,225,-
2018,Sudan,SDN,Italy,ITA,-,-,14,-
2018,Sudan,SDN,"Netherlands (Kingdom of the)",NLD,-,-,65,73
2018,Sudan,SDN,Norway,NOR,-,-,47,-
2018,Sudan,SDN,Sweden,SWE,-,-,210,-
2018,Sudan,SDN,Switzerland,CHE,-,-,5,-
2018,Sudan,SDN,"United States of America",USA,-,-,85,-
2018,"Syrian Arab Rep.",SYR,Australia,AUS,-,-,2181,-
2018,"Syrian Arab Rep.",SYR,Belgium,BEL,-,-,800,-
2018,"Syrian Arab Rep.",SYR,Bulgaria,BGR,-,-,20,-
2018,"Syrian Arab Rep.",SYR,Canada,CAN,-,-,10694,683
2018,"Syrian Arab Rep.",SYR,Estonia,EST,-,-,18,-
2018,"Syrian Arab Rep.",SYR,Finland,FIN,-,-,360,-
2018,"Syrian Arab Rep.",SYR,France,FRA,-,-,4495,171
2018,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,4387,-
2018,"Syrian Arab Rep.",SYR,Germany,DEU,-,-,2929,-
2018,"Syrian Arab Rep.",SYR,Croatia,HRV,-,-,110,-
2018,"Syrian Arab Rep.",SYR,Iceland,ISL,-,-,15,-
2018,"Syrian Arab Rep.",SYR,Ireland,IRL,-,-,338,12
2018,"Syrian Arab Rep.",SYR,Italy,ITA,-,-,309,-
2018,"Syrian Arab Rep.",SYR,Lithuania,LTU,-,-,20,-
2018,"Syrian Arab Rep.",SYR,"Netherlands (Kingdom of the)",NLD,-,-,814,396
2018,"Syrian Arab Rep.",SYR,Norway,NOR,-,-,1637,-
2018,"Syrian Arab Rep.",SYR,"New Zealand",NZL,-,-,233,-
2018,"Syrian Arab Rep.",SYR,Portugal,PRT,-,-,20,-
2018,"Syrian Arab Rep.",SYR,Spain,ESP,-,-,830,-
2018,"Syrian Arab Rep.",SYR,Slovenia,SVN,-,-,34,-
2018,"Syrian Arab Rep.",SYR,Sweden,SWE,-,-,2847,-
2018,"Syrian Arab Rep.",SYR,Switzerland,CHE,-,-,994,-
2018,"Syrian Arab Rep.",SYR,"United States of America",USA,-,-,41,-
2018,"United Rep. of Tanzania",TZA,Australia,AUS,-,-,143,-
